0 0 0
1 0 1
0 0 3
1 0 3
0 0 5
0 0 6
0 0 7
0 0 8
2 0 8
0 0 9
0 0 10
0 0 11
1 0 12
0 0 13
1 0 15
0 1 2
1 1 2
1 1 4
0 1 5
0 1 6
2 1 6
0 1 8
1 1 12
0 1 13
1 1 13
0 1 14
1 1 14
0 2 0
0 2 2
0 2 3
1 2 3
0 2 6
1 2 6
0 2 7
0 2 9
1 2 10
2 2 11
0 2 12
1 2 15
1 3 1
0 3 3
1 3 4
0 3 5
1 3 5
0 3 6
0 3 7
1 3 7
0 3 10
0 3 12
1 3 12
0 4 0
1 4 1
0 4 2
0 4 3
0 4 4
0 4 5
1 4 5
1 4 6
0 4 9
1 4 9
0 4 10
1 4 11
2 4 11
0 4 12
0 4 13
0 4 14
0 5 0
0 5 1
0 5 2
1 5 2
0 5 4
0 5 5
1 5 5
0 5 6
0 5 7
1 5 7
1 5 8
2 5 8
0 5 10
1 5 10
0 5 11
1 5 11
0 5 12
1 5 12
1 5 13
2 5 14
0 5 15
1 5 15
0 6 0
1 6 0
0 6 1
2 6 2
0 6 3
1 6 3
1 6 4
0 6 5
0 6 6
2 6 6
0 6 7
1 6 7
0 6 9
1 6 9
0 6 11
1 6 13
1 6 14
1 6 15
0 7 0
1 7 0
0 7 3
0 7 4
0 7 5
1 7 6
0 7 7
0 7 8
0 7 9
0 7 10
0 7 11
1 7 12
0 7 13
0 7 14
0 8 0
1 8 0
1 8 1
0 8 2
1 8 2
1 8 3
1 8 4
0 8 5
0 8 8
0 8 9
0 8 11
0 8 12
0 8 13
0 8 14
2 8 15
0 9 0
2 9 1
0 9 2
2 9 2
0 9 3
0 9 4
1 9 5
2 9 5
0 9 7
1 9 7
0 9 9
1 9 9
0 9 10
0 9 12
0 9 14
1 9 14
0 9 15
1 10 0
0 10 2
1 10 2
0 10 3
1 10 3
0 10 4
1 10 4
0 10 5
1 10 6
0 10 8
2 10 10
0 10 14
1 10 14
0 11 1
0 11 2
1 11 2
0 11 3
1 11 3
0 11 4
0 11 5
1 11 5
0 11 8
0 11 9
1 11 9
2 11 9
0 11 11
1 11 13
0 11 14
0 11 15
1 12 2
0 12 3
1 12 3
0 12 5
0 12 7
0 12 10
0 12 11
0 12 13
1 12 13
1 12 14
0 12 15
0 13 0
0 13 4
1 13 4
1 13 6
0 13 7
1 13 7
1 13 10
0 13 12
2 13 12
1 13 14
0 14 1
0 14 2
1 14 2
1 14 3
0 14 5
1 14 5
0 14 6
1 14 8
0 14 9
0 14 11
0 14 13
1 14 13
0 14 14
2 14 14
0 14 15
0 15 0
1 15 1
0 15 2
0 15 3
1 15 4
0 15 5
1 15 5
0 15 6
1 15 6
0 15 8
1 15 9
0 15 10
0 15 11
0 15 12
1 15 12
0 15 13
1 15 14
0 15 15

0 0 1.75
0 1 1.5
0 2 1.25
0 3 1.5
0 4 1.5
0 5 1.75
0 6 1
0 7 0.5
0 8 0.75
0 9 1.25
0 10 1.25
0 11 1.5
0 12 1.25
0 13 1.5
0 14 1.25
0 15 1.25
1 0 1.25
1 1 1
1 2 1
1 3 1.5
1 4 1.5
1 5 1.75
1 6 1.25
1 7 0.25
1 8 0.75
1 9 1.25
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
2 0 1
2 1 0.75
2 2 0.25
2 3 1
2 4 1.75
2 5 1.75
2 6 1.25
2 7 0.75
2 8 0.75
2 9 1
2 10 1
2 11 1.25
2 12 1.25
2 13 1
2 14 0.75
2 15 0.75
3 0 1.25
3 1 0.75
3 2 1
3 3 0.75
3 4 1.25
3 5 1.5
3 6 1
3 7 1
3 8 0.5
3 9 0.75
3 10 1.25
3 11 1.5
